Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","3.03456"
"0.00100","0.00000","3.03460"
"0.00200","0.00000","3.03463"
"0.00300","0.00000","3.03467"
"0.00400","0.00000","3.03471"
"0.00500","0.00000","3.03475"
"0.00600","0.00000","3.03478"
"0.00700","0.00000","3.03481"
"0.00800","0.00000","3.03483"
"0.00900","0.00000","3.03485"
"0.01000","0.00000","3.03486"
"0.01100","0.00000","3.03487"
"0.01200","0.00000","3.03487"
"0.01300","0.00000","3.03483"
"0.01400","-0.00001","3.03474"
"0.01500","-0.00001","3.03457"
"0.01600","-0.00001","3.03425"
"0.01700","-0.00001","3.03375"
"0.01800","-0.00002","3.03299"
"0.01900","-0.00002","3.03193"
"0.02000","-0.00003","3.03048"
"0.02100","-0.00003","3.02857"
"0.02200","-0.00004","3.02611"
"0.02300","-0.00005","3.02300"
"0.02400","-0.00006","3.01917"
"0.02500","-0.00007","3.01456"
"0.02600","-0.00009","3.00916"
"0.02700","-0.00010","3.00297"
"0.02800","-0.00012","2.99605"
"0.02900","-0.00014","2.98846"
"0.03000","-0.00016","2.98027"
"0.03100","-0.00019","2.97157"
"0.03200","-0.00021","2.96242"
"0.03300","-0.00024","2.95288"
"0.03400","-0.00028","2.94301"
"0.03500","-0.00031","2.93287"
"0.03600","-0.00035","2.92251"
"0.03700","-0.00040","2.91199"
"0.03800","-0.00044","2.90135"
"0.03900","-0.00050","2.89062"
"0.04000","-0.00055","2.87983"
"0.04100","-0.00061","2.86901"
"0.04200","-0.00068","2.85819"
"0.04300","-0.00075","2.84740"
"0.04400","-0.00083","2.83667"
"0.04500","-0.00091","2.82602"
"0.04600","-0.00100","2.81548"
"0.04700","-0.00109","2.80506"
"0.04800","-0.00119","2.79478"
"0.04900","-0.00129","2.78465"
"0.05000","-0.00140","2.77470"
"0.05100","-0.00152","2.76495"
"0.05200","-0.00165","2.75544"
"0.05300","-0.00178","2.74617"
"0.05400","-0.00191","2.73715"
"0.05500","-0.00206","2.72839"
"0.05600","-0.00220","2.71988"
"0.05700","-0.00236","2.71164"
"0.05800","-0.00251","2.70367"
"0.05900","-0.00267","2.69600"
"0.06000","-0.00284","2.68862"
"0.06100","-0.00301","2.68154"
"0.06200","-0.00318","2.67475"
"0.06300","-0.00335","2.66826"
"0.06400","-0.00353","2.66207"
"0.06500","-0.00370","2.65617"
"0.06600","-0.00388","2.65056"
"0.06700","-0.00406","2.64526"
"0.06800","-0.00424","2.64026"
"0.06900","-0.00442","2.63555"
"0.07000","-0.00460","2.63113"
"0.07100","-0.00478","2.62697"
"0.07200","-0.00496","2.62307"
"0.07300","-0.00514","2.61942"
"0.07400","-0.00531","2.61600"
"0.07500","-0.00549","2.61282"
"0.07600","-0.00567","2.60986"
"0.07700","-0.00584","2.60713"
"0.07800","-0.00602","2.60462"
"0.07900","-0.00620","2.60230"
"0.08000","-0.00637","2.60018"
"0.08100","-0.00654","2.59824"
"0.08200","-0.00672","2.59648"
"0.08300","-0.00689","2.59488"
"0.08400","-0.00706","2.59345"
"0.08500","-0.00724","2.59217"
"0.08600","-0.00741","2.59104"
"0.08700","-0.00759","2.59007"
"0.08800","-0.00776","2.58923"
"0.08900","-0.00794","2.58853"
"0.09000","-0.00811","2.58795"
"0.09100","-0.00829","2.58748"
"0.09200","-0.00847","2.58711"
"0.09300","-0.00865","2.58683"
"0.09400","-0.00884","2.58663"
"0.09500","-0.00902","2.58649"
"0.09600","-0.00921","2.58640"
"0.09700","-0.00940","2.58634"
"0.09800","-0.00959","2.58630"
"0.09900","-0.00978","2.58627"
"0.10000","-0.00998","2.58625"
"0.10100","-0.01018","2.58624"
"0.10200","-0.01038","2.58623"
"0.10300","-0.01059","2.58624"
