Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","2.17544"
"0.00100","0.00000","2.17544"
"0.00200","0.00000","2.17541"
"0.00300","0.00000","2.17537"
"0.00400","0.00000","2.17532"
"0.00500","0.00000","2.17525"
"0.00600","0.00000","2.17518"
"0.00700","0.00000","2.17512"
"0.00800","0.00000","2.17506"
"0.00900","0.00000","2.17502"
"0.01000","0.00000","2.17498"
"0.01100","0.00000","2.17495"
"0.01200","0.00000","2.17491"
"0.01300","0.00000","2.17485"
"0.01400","0.00000","2.17473"
"0.01500","0.00000","2.17452"
"0.01600","-0.00001","2.17418"
"0.01700","-0.00001","2.17370"
"0.01800","-0.00001","2.17306"
"0.01900","-0.00002","2.17223"
"0.02000","-0.00002","2.17118"
"0.02100","-0.00003","2.16985"
"0.02200","-0.00004","2.16816"
"0.02300","-0.00004","2.16602"
"0.02400","-0.00005","2.16336"
"0.02500","-0.00007","2.16007"
"0.02600","-0.00008","2.15609"
"0.02700","-0.00009","2.15135"
"0.02800","-0.00011","2.14577"
"0.02900","-0.00013","2.13927"
"0.03000","-0.00015","2.13176"
"0.03100","-0.00018","2.12311"
"0.03200","-0.00020","2.11323"
"0.03300","-0.00023","2.10200"
"0.03400","-0.00027","2.08929"
"0.03500","-0.00030","2.07498"
"0.03600","-0.00034","2.05894"
"0.03700","-0.00039","2.04105"
"0.03800","-0.00044","2.02117"
"0.03900","-0.00049","1.99922"
"0.04000","-0.00055","1.97513"
"0.04100","-0.00061","1.94884"
"0.04200","-0.00067","1.92033"
"0.04300","-0.00075","1.88958"
"0.04400","-0.00082","1.85659"
"0.04500","-0.00091","1.82140"
"0.04600","-0.00100","1.78405"
"0.04700","-0.00109","1.74467"
"0.04800","-0.00119","1.70338"
"0.04900","-0.00130","1.66036"
"0.05000","-0.00141","1.61580"
"0.05100","-0.00153","1.56993"
"0.05200","-0.00166","1.52301"
"0.05300","-0.00179","1.47534"
"0.05400","-0.00193","1.42721"
"0.05500","-0.00208","1.37895"
"0.05600","-0.00223","1.33085"
"0.05700","-0.00238","1.28320"
"0.05800","-0.00254","1.23621"
"0.05900","-0.00270","1.19005"
"0.06000","-0.00287","1.14483"
"0.06100","-0.00304","1.10072"
"0.06200","-0.00321","1.05791"
"0.06300","-0.00339","1.01664"
"0.06400","-0.00357","0.97710"
"0.06500","-0.00375","0.93942"
"0.06600","-0.00393","0.90365"
"0.06700","-0.00411","0.86978"
"0.06800","-0.00430","0.83779"
"0.06900","-0.00448","0.80769"
"0.07000","-0.00467","0.77949"
"0.07100","-0.00485","0.75313"
"0.07200","-0.00504","0.72853"
"0.07300","-0.00522","0.70562"
"0.07400","-0.00541","0.68436"
"0.07500","-0.00559","0.66474"
"0.07600","-0.00578","0.64674"
"0.07700","-0.00596","0.63033"
"0.07800","-0.00614","0.61542"
"0.07900","-0.00633","0.60193"
"0.08000","-0.00651","0.58977"
"0.08100","-0.00669","0.57885"
"0.08200","-0.00688","0.56910"
"0.08300","-0.00706","0.56044"
"0.08400","-0.00724","0.55280"
"0.08500","-0.00743","0.54612"
"0.08600","-0.00761","0.54034"
"0.08700","-0.00779","0.53538"
"0.08800","-0.00798","0.53116"
"0.08900","-0.00816","0.52762"
"0.09000","-0.00835","0.52472"
"0.09100","-0.00853","0.52247"
"0.09200","-0.00872","0.52088"
"0.09300","-0.00891","0.51992"
"0.09400","-0.00910","0.51958"
"0.09500","-0.00929","0.51979"
"0.09600","-0.00948","0.52049"
"0.09700","-0.00968","0.52164"
"0.09800","-0.00988","0.52321"
"0.09900","-0.01008","0.52518"
"0.10000","-0.01028","0.52754"
"0.10100","-0.01048","0.53028"
"0.10200","-0.01069","0.53341"
"0.10300","-0.01090","0.53690"
"0.10400","-0.01111","0.54075"
"0.10500","-0.01132","0.54493"
"0.10600","-0.01154","0.54943"
"0.10700","-0.01176","0.55420"
"0.10800","-0.01198","0.55922"
"0.10900","-0.01221","0.56448"
"0.11000","-0.01243","0.56998"
"0.11100","-0.01266","0.57573"
"0.11200","-0.01290","0.58172"
"0.11300","-0.01314","0.58793"
"0.11400","-0.01337","0.59435"
"0.11500","-0.01362","0.60098"
"0.11600","-0.01386","0.60782"
"0.11700","-0.01411","0.61487"
"0.11800","-0.01436","0.62212"
"0.11900","-0.01461","0.62954"
"0.12000","-0.01487","0.63711"
"0.12100","-0.01513","0.64481"
"0.12200","-0.01539","0.65263"
"0.12300","-0.01565","0.66056"
"0.12400","-0.01592","0.66857"
"0.12500","-0.01619","0.67665"
"0.12600","-0.01646","0.68478"
"0.12700","-0.01674","0.69296"
"0.12800","-0.01701","0.70118"
"0.12900","-0.01729","0.70944"
"0.13000","-0.01757","0.71774"
"0.13100","-0.01785","0.72606"
"0.13200","-0.01814","0.73440"
"0.13300","-0.01842","0.74275"
"0.13400","-0.01871","0.75109"
"0.13500","-0.01900","0.75941"
"0.13600","-0.01929","0.76770"
"0.13700","-0.01958","0.77594"
"0.13800","-0.01988","0.78412"
"0.13900","-0.02017","0.79220"
"0.14000","-0.02047","0.80017"
"0.14100","-0.02077","0.80805"
"0.14200","-0.02106","0.81581"
"0.14300","-0.02136","0.82346"
"0.14400","-0.02166","0.83098"
"0.14500","-0.02196","0.83835"
"0.14600","-0.02226","0.84557"
"0.14700","-0.02256","0.85262"
"0.14800","-0.02286","0.85953"
"0.14900","-0.02317","0.86630"
